roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept,n,fold,variant,subset
0.5059706973589462,0.44508573637615945,0.6114559319028197,0.2517685240847986,0.07069231625793926,3936,0.444867879152298,-6.349626823850888,3.7080907482979963,3936,0,lr_M1_numeric,all
0.5449198477684234,0.509045363189267,0.6215139442231076,0.2509981098856618,0.05739994089947036,699,0.46065807342529297,-6.170025379404391,3.6284284504523034,699,0,lr_M1_numeric,filing
0.49744855304470603,0.43249709644133844,0.609277238403452,0.2519348878553258,0.07356268435235959,3237,0.441458135843277,-6.225339411842967,3.641493316037158,3237,0,lr_M1_numeric,no_filing
0.5143776619310051,0.45619722720273104,0.6081787065393622,0.251612237753036,0.06904347318329779,3936,0.444867879152298,-1.0317936080374928,0.9751183474049051,3936,0,lr_M2_visual,all
0.5336878264164621,0.48906613536435495,0.6186612576064908,0.25085618838872265,0.05287597737169838,699,0.46065807342529297,-1.3457940206472023,1.1517691604912632,699,0,lr_M2_visual,filing
0.510069545508029,0.4497227873025823,0.6059145673603505,0.2517754995712797,0.07253470416242792,3237,0.441458135843277,-0.8006938181980473,0.8530090182056427,3237,0,lr_M2_visual,no_filing
0.5001691089890445,0.449040937036648,0.6160619936597393,0.2517922403933603,0.06962497266537206,3936,0.444867879152298,12.381654267812987,-5.925404852302942,3936,0,lr_M3_text,all
0.5261050793284677,0.4814534457488455,0.6324110671936759,0.25129321703800717,0.05553688234971244,699,0.46065807342529297,12.113174570004846,-5.792101739168795,699,0,lr_M3_text,filing
0.48819588083751864,0.4303899364265067,0.6125160737248179,0.2518999998389555,0.07266717106842735,3237,0.441458135843277,,,3237,0,lr_M3_text,no_filing
0.5103038865009468,0.4549360021725955,0.6157903991559698,0.25177988280709934,0.06942622624260864,3936,0.444867879152298,,,3936,0,gb_M1_numeric,all
0.515181969454833,0.4737813853170111,0.6307541625857003,0.25132869778934513,0.05363801815441549,699,0.46065807342529297,,,699,0,gb_M1_numeric,filing
0.5088617496609424,0.4510159218469788,0.6125160737248179,0.25187731200926505,0.07283554065352138,3237,0.441458135843277,,,3237,0,gb_M1_numeric,no_filing
0.49989270596599256,0.4470107276725018,0.6157903991559698,0.2517799175735927,0.06942233463424219,3936,0.444867879152298,,,3936,0,gb_M2_visual,all
