fold,comparison,delta_roc_auc,delta_pr_auc,delta_f1,delta_brier,delta_ece
22,tokens_vs_numeric,0.014431772871628612,0.009865486524026301,0.00670821099987573,-0.00016920359326261236,-0.002016138047114008
22,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
23,tokens_vs_numeric,0.004290259593767276,0.0011887352667820372,-0.006649502039553168,0.0004796150379295927,0.00945510309656547
23,fusion_vs_tokens,-0.005389414793408487,0.0006127447104837813,-0.0032289256985484904,-0.0001433419472485209,-0.0038647784647218297
24,tokens_vs_numeric,0.006522054514732367,0.007385095666213148,-0.15724815724815724,-0.000605932851841462,-0.001623745368355009
24,fusion_vs_tokens,0.01841422548913635,0.00785869793006655,0.03165735567970205,-8.843298524435772e-05,-0.00019687111080633757
25,tokens_vs_numeric,0.02226012881265721,0.01258104913087732,0.0,-5.350316145957823e-07,2.209207334069596e-06
25,fusion_vs_tokens,-0.017926490724286925,-0.008581418815558961,-0.0011889733728679408,0.0005418878200910138,0.0031534044581490728
26,tokens_vs_numeric,-0.0176781933152666,-0.017680624474883055,0.008616241735255104,-0.00033116901729124404,-0.005588895939436275
26,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
27,tokens_vs_numeric,-0.0027929766660876876,0.004589409783466558,0.015827498744193813,2.3109667907250664e-05,0.001057506773613319
27,fusion_vs_tokens,0.0003494296798100538,0.0013568691675478473,0.025784821988842077,-0.00022243411339539776,-0.0008934301239451117
28,tokens_vs_numeric,-0.010150311158375669,-0.008204467651546865,0.000554320144681486,0.00021431397602672542,0.0008293950179877191
28,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
29,tokens_vs_numeric,-0.03944768844631302,-0.024928333498726474,-0.031876138433515486,0.00011757693495034749,-0.00032348903495695025
29,fusion_vs_tokens,0.008417039603458965,0.004197498521271825,0.0,7.383719605180694e-07,5.797005154406509e-06
30,tokens_vs_numeric,0.017164646871971168,0.009402105607462963,-0.000261744302882172,0.0007004283881955065,0.00483456987524352
30,fusion_vs_tokens,0.0011092953003515316,0.0008911393785062671,0.00012136963621223185,-0.0001222142525220682,-0.0003288319353087557
31,tokens_vs_numeric,-0.013728885913949995,-0.01510364933181485,-0.05906783571758191,5.2393226256330916e-05,-6.562149147024132e-05
31,fusion_vs_tokens,0.006066254763351597,0.0011669301801536802,0.27076705549664193,0.0003773576131398393,0.004988544289128306
32,tokens_vs_numeric,-0.015568763842746303,-0.010565801335542302,0.026711239077577997,-8.322260666165926e-05,0.002134870059261461
32,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
33,tokens_vs_numeric,-0.000747677301097649,-0.007177285466451355,0.0,-7.246993546927705e-07,2.666943160756219e-07
33,fusion_vs_tokens,-0.01301898129111384,-0.011419428221061623,-0.0065836413154930495,0.000557590611283687,0.0025937591541135424
34,tokens_vs_numeric,0.005278413439712637,-0.0019557801668789176,-0.0026501766784452286,-0.0002749450815285881,-0.00021189300064608507
34,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
35,tokens_vs_numeric,-0.007158970496475792,0.0011514935974807905,-0.011058868912968811,0.0012188718708406876,0.00889325076885708
35,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
36,tokens_vs_numeric,-0.000597395730054906,-0.004652887347344148,0.0,1.736413707265072e-08,1.1780786579596025e-07
36,fusion_vs_tokens,0.0009440148060019249,0.001839285782096134,0.0,1.9820552132898683e-07,2.5960915754907887e-06
37,tokens_vs_numeric,0.0029742185473832228,-0.0042606890037946155,0.0,1.4672708115170963e-07,1.056079442451896e-06
37,fusion_vs_tokens,0.032554009884149304,0.020046808802996197,-0.002723462792158071,-0.00020214502271292956,-0.0019183773033058585
38,tokens_vs_numeric,-0.013299950135405192,-0.012269784218183588,-0.05010893246187364,0.000922890420111927,0.0007004883042800508
38,fusion_vs_tokens,-0.023569195591829573,-0.013481211302105667,0.08565531475748193,-6.656864679327468e-05,0.00035074583367683196
39,tokens_vs_numeric,-0.00503288452918671,-0.0016684371579498425,-0.01222057035023047,-4.560042223161753e-05,0.002020676834792498
39,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
40,tokens_vs_numeric,0.013591421667337789,0.009088283909905792,0.0,-9.128411178654927e-05,0.0013058279958841554
40,fusion_vs_tokens,0.0021754178413211367,0.0016195546443088515,0.0,9.773325616924122e-05,-0.0011598317242232509
41,tokens_vs_numeric,0.00653623932005265,0.005527361281658649,-0.001490361119036776,-0.00017672136276053463,0.0002238361691695688
41,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
42,tokens_vs_numeric,0.008555214695907698,0.004154039983808699,0.0,-1.3158237961163888e-06,-1.2911641173452004e-05
42,fusion_vs_tokens,0.004035815925351516,0.005568399938655322,-0.4879306885513512,-0.0003116799596628306,-8.334199171285833e-05
43,tokens_vs_numeric,0.019853284257974835,0.013842210948651568,0.0,7.147310561622655e-05,0.0010835515360877457
43,fusion_vs_tokens,-0.03634721857698131,-0.03166930684366698,-0.00596472271944648,0.001056895925343193,0.0063465378532221554
44,tokens_vs_numeric,0.008285220093737722,0.006575033172917855,0.0,-9.689968882564681e-07,3.24782672034285e-06
44,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
