symbol,n_days,n_filings,n_folds,auc_numeric,auc_tokens,auc_fusion,f1_numeric,f1_tokens,f1_fusion,brier_numeric,brier_tokens,brier_fusion,ece_numeric,ece_tokens,ece_fusion,delta_auc_tok_num,delta_auc_fus_tok,delta_f1_tok_num,delta_f1_fus_tok,delta_brier_tok_num,delta_brier_fus_tok,delta_ece_tok_num,delta_ece_fus_tok,tok_beats_num,fus_beats_tok,full_hypothesis
JIOFIN,567,196,10,0.461579581667905,0.5348498367058687,0.5235116945563856,0.3403442150361481,0.2511205981134263,0.25169918843082256,0.2816460552995408,0.2832217030500722,0.2749761722356009,0.169659777952891,0.18416721666083458,0.17556011453459897,0.0732702550379637,-0.011338142149483144,-0.0892236169227218,0.0005785903173962659,0.0015756477505314281,-0.008245530814471325,0.014507438707943576,-0.00860710212623561,True,False,False
CHOLAFIN,2452,751,56,0.5410730207330225,0.5120710220036122,0.5233671985002079,0.4059895519892267,0.38494187977369976,0.3973419214412521,0.2666601996906364,0.2688249914488144,0.2660289204543349,0.14624498399442026,0.14947049059447348,0.1523860124520294,-0.02900199872941034,0.011296176496595645,-0.021047672215526947,0.01240004166755232,0.002164791758177964,-0.0027960709944794826,0.0032255066000532184,0.0029155218575559194,False,True,False
COALINDIA,2452,776,56,0.5214586103997407,0.4942497167315271,0.5225327581958477,0.44206821772454935,0.3843375550919031,0.41304768979678397,0.2623610724829707,0.2799261253777424,0.27640232158467154,0.13282440408106552,0.17628816057596913,0.17892581918768738,-0.027208893668213607,0.028283041464320535,-0.05773066263264626,0.028710134704880874,0.017565052894771727,-0.0035238037930708788,0.04346375649490361,0.0026376586117182466,False,True,False
SOLARINDS,2453,95,56,0.5331962121182426,0.5164407898910219,0.5216837725950946,0.4093247656201729,0.39555548971838767,0.3929562459813356,0.2746962441844367,0.2752647190445323,0.27558380668744126,0.15767343250246668,0.1654358146377395,0.16423510443888925,-0.016755422227220707,0.005242982704072641,-0.013769275901785227,-0.0025992437370520594,0.0005684748600955913,0.000319087642908944,0.007762382135272805,-0.0012007101988502356,False,True,False
TMPV,2453,154,56,0.5313775774972928,0.5275935278995469,0.5197153268989492,0.4122252765981632,0.39417919865358414,0.39746710714191563,0.26632183549012495,0.27645863772437473,0.2781519716242413,0.15219138348415862,0.16837493422742864,0.17335173244093705,-0.003784049597745809,-0.007878201000597773,-0.018046077944579075,0.0032879084883314924,0.010136802234249787,0.0016933338998665892,0.01618355074327002,0.00497679821350841,False,False,False
BAJAJ-AUTO,2452,777,56,0.5002336790726787,0.5135063040946416,0.5197093119256132,0.41508482437526023,0.3805541522852227,0.41792334321031177,0.2694121463519164,0.274708902772235,0.2729549150228691,0.15219592674300994,0.16782284568123143,0.1586048157582745,0.013272625021962914,0.0062030078309716075,-0.03453067209003752,0.03736919092508906,0.005296756420318571,-0.0017539877493658595,0.01562691893822149,-0.009218029922956922,True,True,True
BAJAJHLDNG,2452,433,56,0.504911379373557,0.5238986306478375,0.5195036049513226,0.432499787332457,0.4517221242774216,0.43301511215223704,0.2653402978640361,0.26113960124959634,0.2629694834970709,0.13987967386182382,0.13233906076713564,0.14486331302063513,0.01898725127428047,-0.004395025696514843,0.019222336944964613,-0.018707012125184552,-0.004200696614439781,0.0018298822474745458,-0.0075406130946881755,0.012524252253499485,True,False,False
SBILIFE,2021,74,46,0.5123330080989754,0.5150568349927599,0.5193648866804685,0.4087707054752009,0.45291287231274824,0.47805305162547124,0.2726786183370767,0.2752445241275928,0.27821880935465143,0.1538476772798419,0.15567433220220375,0.15862566184794827,0.0027238268937844756,0.004308051687708647,0.04414216683754735,0.025140179312723,0.002565905790516132,0.002974285227058615,0.0018266549223618644,0.002951329645744516,True,True,True
GAIL,2453,928,56,0.504941986841904,0.5318674912132225,0.5179897599420819,0.37827649932644025,0.40545907754263066,0.42473738150331986,0.27042287694425615,0.26225261134780153,0.2657649792470711,0.16159543793204723,0.13954025213580162,0.1449194780142778,0.026925504371318576,-0.01387773127114067,0.02718257821619041,0.01927830396068919,-0.008170265596454618,0.003512367899269564,-0.022055185796245602,0.005379225878476168,True,False,False
JSWENERGY,2452,376,56,0.49709878674502306,0.5199889063769633,0.5165569443872464,0.2941941669624623,0.34316067594059596,0.35275826155122275,0.2687821728903817,0.27102796580470206,0.2726485697820939,0.13194650373890698,0.15711700398616557,0.16457002978155696,0.02289011963194021,-0.0034319619897168474,0.04896650897813365,0.009597585610626791,0.002245792914320366,0.0016206039773918324,0.025170500247258587,0.007453025795391394,True,False,False
TCS,2453,167,56,0.5083450408742943,0.5207618083364731,0.516131048756469,0.42722255709920554,0.4006624437091227,0.4151574152669203,0.26463760036555245,0.26496119480664293,0.2728523050670229,0.1390314817742834,0.1369920659807285,0.14838072351740864,0.01241676746217879,-0.00463075958000414,-0.02656011339008285,0.014494971557797609,0.0003235944410904801,0.007891110260379974,-0.002039415793554905,0.011388657536680141,True,False,False
TATASTEEL,2453,137,56,0.5231676127102043,0.5209167740372533,0.5157225818666981,0.3888505875923613,0.4066610582066712,0.4208137839878726,0.2635566707900321,0.2667625865794426,0.27509988493969084,0.14577591560330988,0.14306279844537276,0.15645140393871806,-0.00225083867295095,-0.0051941921705552785,0.017810470614309903,0.014152725781201414,0.003205915789410485,0.008337298360248269,-0.0027131171579371227,0.013388605493345307,False,False,False
SHRIRAMFIN,2452,181,56,0.5133877910394193,0.5171416173266653,0.515309241551827,0.4190374917467597,0.4509973995034952,0.46458163744799164,0.27108054986015867,0.26588572850438696,0.2687805658704608,0.15660338558406034,0.13858379637459653,0.15470676272480718,0.003753826287245965,-0.0018323757748383018,0.03195990775673552,0.013584237944496425,-0.005194821355771706,0.0028948373660738214,-0.01801958920946381,0.016122966350210655,True,False,False
NHPC,2452,556,56,0.5509278524605443,0.523501098086111,0.5152478497193177,0.3264764644032839,0.3219203657167328,0.3021989628269342,0.2678252832262559,0.27815065341725925,0.2779643183432362,0.15930543216551699,0.17819997327801113,0.18059824225972512,-0.027426754374433315,-0.008253248366793309,-0.004556098686551047,-0.019721402889798623,0.01032537019100338,-0.0001863350740230474,0.01889454111249414,0.002398268981713997,False,False,False
BPCL,2452,909,56,0.47941293689313813,0.5130205202476595,0.5150078184235475,0.3733964962235376,0.3892856541300441,0.3982152925169456,0.27248142288626453,0.2752370134056039,0.27640818184813903,0.15231072152751812,0.16973722630768234,0.18077195105604846,0.03360758335452141,0.0019872981758879416,0.015889157906506524,0.008929638386901473,0.0027555905193393793,0.0011711684425351199,0.01742650478016422,0.011034724748366115,True,True,True
IRFC,1285,394,41,0.5154154635219318,0.5184679986660505,0.5146272340873426,0.33957455175373813,0.24439722826904606,0.27602149326410674,0.2730534434993704,0.2713545729254651,0.2722682994708546,0.16458310075824203,0.17795107071182076,0.17063724168211028,0.00305253514411874,-0.003840764578707967,-0.09517732348469207,0.031624264995060686,-0.0016988705739052756,0.0009137265453895149,0.013367969953578723,-0.007313829029710478,True,False,False
IOC,2453,681,56,0.4897325092864921,0.5080702935926196,0.5144569327456002,0.404898201337189,0.41551773389952285,0.4375655436951445,0.2748212803569741,0.2754111174913973,0.2748343975460298,0.16027087119687217,0.16560124626115838,0.16644943666116202,0.01833778430612748,0.006386639152980655,0.010619532562333833,0.022047809795621653,0.0005898371344231768,-0.0005767199453675098,0.0053303750642862135,0.00084819040000364,True,True,True
