r2,mae,rmse,spearman,spearman_p,auc_vol_high,fold,variant,n_test,fusion_weight_ts
0.09898387194662817,0.010219271047961827,0.016144799957966274,0.4717195916244689,1.2099191198732967e-26,0.5680376915889708,0,numeric_only,456,
0.05538254827067146,0.013348350291308536,0.02243179429798433,0.4418164188016306,5.664825021507895e-23,0.5783826406356051,1,numeric_only,451,
0.17458375905587442,0.009280678082422668,0.012334794686629211,0.42022423081682064,3.3794194322434384e-25,0.5560007780587435,2,numeric_only,556,
0.14760246961067036,0.009591306368102624,0.013652887596131572,0.4057545495351717,2.0099577289216555e-22,0.595400072439804,3,numeric_only,530,
0.129694508346612,0.009589700834324913,0.013138611813611822,0.4719009097282124,6.790137925544989e-33,0.5908508839545465,4,numeric_only,569,
0.15870433013125418,0.010589651370520295,0.01589304091841236,0.49378933272538017,1.2297708917147873e-35,0.6223642788307099,5,numeric_only,558,
0.15762151165599825,0.010232432751781687,0.016793351197287074,0.45626304025097286,2.3957514502625036e-30,0.6062115778688525,6,numeric_only,564,
0.09036687623891038,0.00928168579453479,0.013073435036472243,0.46747423864508403,1.2075091584348807e-29,0.627318095913064,7,numeric_only,521,
0.14514304009499335,0.011464644848029663,0.01665608662959257,0.4716268795730655,1.375489297067247e-31,0.6081110833859297,8,numeric_only,546,
0.23231580308802324,0.009234040368104773,0.01244061419691267,0.45543962980145913,6.573545974292291e-32,0.5952051869830997,9,numeric_only,597,
0.2253722559076382,0.009242582145797961,0.01241060504229643,0.4674888668679832,1.7342387176890566e-38,0.6092852612663402,10,numeric_only,685,
0.1701715903525829,0.011339155383733306,0.017139606122881967,0.49745109466776277,1.8041088175714022e-45,0.632340369566647,11,numeric_only,707,
0.007388420887587399,0.014389109233794582,0.02205875835350833,0.41827126201195486,2.174060179138755e-26,0.5748344773127619,12,numeric_only,590,
0.06978281196414149,0.01021175454685844,0.014903131993961743,0.3534767984920775,1.52864531381074e-17,0.5566228790366722,13,numeric_only,547,
0.14528552332064093,0.011750961009727966,0.017811679416305234,0.4481422249023141,3.2558344137269985e-34,0.6415955980932521,14,numeric_only,666,
0.15161016315792808,0.009139753130838955,0.011984831690625761,0.4868691517129222,5.569229414938954e-38,0.5762579368877827,15,numeric_only,616,
0.14543515134177865,0.011806006986391619,0.01747101225769813,0.48286499650922804,1.7854399665410214e-41,0.6139304203945518,16,numeric_only,688,
0.14396738462708702,0.01156539221074017,0.016729950323018487,0.4377962537934845,1.9219725924594128e-31,0.6244315170637317,17,numeric_only,642,
0.09650505843320867,0.012991053874715145,0.020768372254679878,0.4044092446291018,1.5129760269439794e-22,0.6107343168932512,18,numeric_only,537,
0.18934651723503537,0.00932971634024807,0.01259412391495711,0.5058453519023626,8.172491481195422e-45,0.6084942048618951,19,numeric_only,670,
0.21120008176681992,0.010655941299650406,0.014793779169141432,0.5395227413401034,4.258293979853664e-52,0.6604087538433714,20,numeric_only,673,
-0.33138730425422924,0.04362778267342917,0.07040072553703083,0.37810868438340883,6.486773284852488e-19,0.7007630638462282,21,numeric_only,514,
0.11913673974380923,0.014558100284031858,0.02030040399277761,0.45799789395638146,2.8565119713297156e-42,0.6773895396732905,22,numeric_only,791,
0.07512463299035466,0.012840191931828279,0.017718550131379924,0.36704734370142816,2.2943514017177106e-25,0.6227256257975078,23,numeric_only,751,
-0.03147260176264721,0.012785899622951874,0.01737233025310207,0.369251965124194,5.2441114427169613e-23,0.590144499402373,24,numeric_only,668,
0.1259826501938549,0.013208362386988824,0.017458491710224153,0.44852685732363823,4.251478650464292e-33,0.6231093880355303,25,numeric_only,642,
0.09467129357211213,0.012794723595466224,0.01850307081378309,0.30866406127684637,1.0912068845445574e-17,0.5889282315912749,26,numeric_only,735,
0.17468478414170274,0.012186487845667766,0.017381248823917977,0.39026478119956876,5.74099429190263e-25,0.5701980735880989,27,numeric_only,647,
0.11991952223691094,0.013462691092200047,0.01981422574209411,0.46863614410729965,2.402702643655367e-41,0.6586291031193121,28,numeric_only,734,
0.06269844835142435,0.01128477601788605,0.01478542295341248,0.3749217791731223,1.3395074520580398e-28,0.5962265437148311,29,numeric_only,815,
0.1946352702276033,0.0125315513938287,0.019694088531380605,0.47590262475574224,5.567935672059568e-43,0.6262542606211856,30,numeric_only,738,
0.10066230173089663,0.011475851988097944,0.015648139399335643,0.37015196269731143,2.601683174260431e-22,0.5915625302722076,31,numeric_only,643,
0.09131744323679292,0.011299885826020338,0.016615182982491997,0.36573276518783654,6.0012666733611e-23,0.5694942989864865,32,numeric_only,680,
0.20064141340396746,0.01079444706891541,0.014933239217600466,0.31110151092724747,2.3393456805303165e-15,0.5323537483902294,33,numeric_only,619,
0.15877152920880933,0.011025601019815583,0.016235380561002148,0.3911773100906279,1.2979526544649874e-30,0.5814796750054552,34,numeric_only,799,
-0.09296513628388392,0.010865277170932068,0.013777664386367806,0.4001390624773284,3.733459551854786e-32,0.568624265468372,35,numeric_only,801,
0.14016176984118556,0.010586848381208625,0.015141070617055642,0.4568239950180663,1.3695847826978752e-37,0.6140867053952991,36,numeric_only,704,
0.13474741066654405,0.008384075891212806,0.011806092616047112,0.3694458384233254,1.2209924845204952e-24,0.5767612033095796,37,numeric_only,718,
0.12782987613201302,0.012785225244754918,0.028144509832995934,0.3329754723286476,6.292510993332401e-21,0.6083295608872792,38,numeric_only,752,
0.31174176927575137,0.007731466966830383,0.010798189289144828,0.47340045004733616,4.048534870700818e-34,0.6150812552535724,39,numeric_only,587,
0.17156834703433732,0.008696711959813254,0.011759361658192807,0.45887662012140973,4.4494357269896526e-45,0.634098125419796,40,numeric_only,842,
0.14297500907193506,0.008485643370442388,0.01264455096618096,0.40929443239649876,4.158439359007175e-37,0.6255684705284553,41,numeric_only,886,
0.17653349756986625,0.007768457997382793,0.010798377433101601,0.3732709112508552,1.2324209139827278e-26,0.6410286878288914,42,numeric_only,763,
0.2361968156880665,0.00882447543159187,0.013182038147343155,0.4834295104744463,1.4366464446637595e-42,0.7014218009478673,43,numeric_only,705,
0.11417782926530073,0.010450983707635305,0.016344258591329285,0.39141661650169307,3.6765271780999234e-31,0.6244583635923506,44,numeric_only,813,
0.11398606330372718,0.009486791849444303,0.014558987793332407,0.40018591055420644,1.3947583911709282e-32,0.5692766459268722,45,numeric_only,812,
0.12373948532778944,0.013202170866066858,0.025275405044890238,0.32014460072774054,1.5959147132625268e-20,0.5740990779809345,46,numeric_only,800,
0.052976768877346925,0.010124017364230296,0.01709920911059059,0.3452636244539181,2.266751913154956e-25,0.6069861282078174,47,numeric_only,856,
0.048358564905626955,0.010289892317589514,0.013989982788337862,0.3139007709749258,2.129936487069517e-16,0.5585272045028142,48,numeric_only,653,
0.19200584283649436,0.012388353490537822,0.020449052654323643,0.35378038847170434,4.2239825264929585e-19,0.5951385141212449,49,numeric_only,599,
-0.07018291210619698,0.010657755677736584,0.014716328988585107,0.37124626387812726,6.163870548264917e-20,0.6130447177121532,50,numeric_only,566,
0.07096428580275571,0.009564836842174674,0.012886263780676024,0.35801560465575827,3.333830919073268e-16,0.48964474678760395,51,numeric_only,488,
-0.03967734913373833,0.008476081531413446,0.010744244505492032,0.3530335311247935,9.42621052914418e-39,0.5562510062180479,52,numeric_only,1276,
-0.1263516960434239,0.00842178131759826,0.010096966882683554,0.3144645522730005,4.2141882805671885e-36,0.5789388812025577,53,numeric_only,1514,
