config,model,n_features,roc_auc,pr_auc,f1,brier,ece,period
CX: M1 | milestone_top5 | M3,cx,18,0.5139132143276715,0.5019901758322498,0.29307622349944096,0.25174390586545486,0.04941548069713665,2024-2025
CX: M1 | M2 | M3 (original),cx,34,0.5133299498682258,0.5028457770400602,0.2930635361403839,0.2519602677688731,0.04982199901364338,2024-2025
CX: M1 | milestone | M2 | M3,cx,54,0.5111148969776254,0.5007045265673675,0.29189635811484754,0.2519928675149431,0.04997408791653178,2024-2025
CX: M1 | milestone+M2 | M3,cx,54,0.5118959042464615,0.500214636084599,0.2930965456144578,0.2518661646255484,0.049492592756813975,2024-2025
LR M1 full,lr,6,0.5091809014817394,0.5096946071005987,0.38298847826256566,0.25159704520457754,0.042175151731522996,10-year
LR M1 top3,lr,3,0.5056248672497144,0.5063236006235503,0.3612684391245106,0.25209241307874924,0.04348757593236078,10-year
LGBM M1 full,lgbm,6,0.5036944154111163,0.5037710734924469,0.37748065228592864,0.2513454844140037,0.039440340181337116,10-year
LGBM M1+M2+M3 full,lgbm,34,0.5058802605000958,0.5045664182812656,0.38799767241757455,0.251270038995714,0.03921446904253491,10-year
LR milestone only,lr,20,0.4996071429411204,0.4986637865488282,0.3564430522490416,0.2512222903678181,0.03829063135927795,10-year
LGBM milestone only,lgbm,20,0.49979031853116407,0.4993684960660028,0.33759711816501436,0.2511900007095707,0.03809632188556501,10-year
LR M1 + milestone full,lr,26,0.5087185210968318,0.5079361716167557,0.3930999798869409,0.251475073441031,0.04112244588280657,10-year
LGBM M1 + milestone full,lgbm,26,0.5063702714132987,0.5055984900316027,0.383875097575691,0.2512883146946911,0.039353851558236085,10-year
LR M1 + milestone top5,lr,11,0.5106457012512668,0.5104078801580003,0.39679306009347093,0.2515374932046911,0.041887260574926685,10-year
LGBM M1 + milestone top5,lgbm,11,0.5061094436984226,0.5051854038169602,0.36983725108508014,0.25125910352487585,0.0393956237263287,10-year
LR M1 + milestone top8,lr,14,0.5094797521051153,0.5092591783374824,0.3924415529593202,0.2515414858366276,0.04183841404521916,10-year
LGBM M1 + milestone top8,lgbm,14,0.5046635738159095,0.5042700723717529,0.3773596439080154,0.25125003237002447,0.039390418196505475,10-year
LR M1top3 + milestone top5,lr,8,0.5062446114630488,0.505403015985643,0.3765934644248503,0.2515818581379519,0.04130255171099177,10-year
LGBM M1top3 + milestone top5,lgbm,8,0.5012498333113828,0.5011897252078558,0.36065010761728483,0.2513366429778695,0.03946897688140497,10-year
LR M1 + ms_top5 + M3,lr,18,0.5113197293340077,0.5099580579175392,0.3945319514197263,0.25145601318910105,0.04102924216096867,10-year
LGBM M1 + ms_top5 + M3,lgbm,18,0.5060126539814189,0.5054361679380018,0.37989790807154594,0.2513356546605509,0.03963206283540036,10-year
LGBM all + milestone,lgbm,54,0.5073323192718863,0.5055755142770759,0.38562903670701776,0.25126433784775887,0.03917801281101937,10-year
LR all + milestone,lr,54,0.5078391325031723,0.5068604384780068,0.38840083132831466,0.2513103875080086,0.03958297409290641,10-year
CX: M1 | milestone,cx,26,0.507842806650282,0.5074575004117415,0.3595896058009494,0.25126345058978566,0.039580840289848214,10-year
CX: M1 | milestone_top5,cx,11,0.5080567263993659,0.5077908817816735,0.3619097123521806,0.25126080951511737,0.03957680318123426,10-year
CX: M1 | M3,cx,13,0.5094794768831846,0.5090806267392765,0.3643136495130503,0.2512557337328126,0.039483729701642635,10-year
CX: M1 | milestone + M3,cx,33,0.5080223311375776,0.5075996064286664,0.36257830107745254,0.25126562582786643,0.0395799466326287,10-year
CX: M1 | milestone_top5 + M3,cx,18,0.5088272388672144,0.5084480347655594,0.3665278525427099,0.25125575177653203,0.039543914744198126,10-year
CX: M1 | milestone | M3,cx,33,0.5091195056673327,0.5083984805001049,0.36749986721379446,0.25126488400651964,0.03956068428489775,10-year
CX: M1 | milestone_top5 | M3,cx,18,0.5096655831034401,0.5088454109548878,0.3700174783978606,0.2512579200623631,0.039565408446987194,10-year
CX: M1 | M2 | M3 (original),cx,34,0.5085647525075737,0.507893796924986,0.3708396472846811,0.2513260569431461,0.04023199274653487,10-year
CX: M1 | milestone | M2 | M3,cx,54,0.5083435507718062,0.5076446865681368,0.3743391909285481,0.2513392989468088,0.04022324464856032,10-year
CX: M1 | milestone+M2 | M3,cx,54,0.5097516568639837,0.5092511184093886,0.36982436534957797,0.2513170745030301,0.03972420594914604,10-year
