strategy,variant,n_features,roc_auc,pr_auc,f1,brier,ece
S2_M1+top15_M2,CrossModal,21,0.5121016738393604,0.5028437048119734,0.3231637700497042,0.252654017774649,0.058836248098034005
S2_M1+nonzero_M2,LR_concat,27,0.49989547505034143,0.4912620979100788,0.32574464930054786,0.25245119000103977,0.05722871249702377
S2_M1+nonzero_M2,LGBM_concat,27,0.5104490986823179,0.49673446846809055,0.326180155761211,0.252534566645638,0.05869327234025676
S2_M1+nonzero_M2,Late_LR,27,0.5110233258011938,0.5006382159314011,0.3240124317624328,0.2527020297861023,0.05830511419162794
S2_M1+nonzero_M2,Late_LGBM,27,0.5033926738376076,0.49624754965474943,0.3239898047910974,0.2525459442178405,0.05825594768202627
S2_M1+nonzero_M2,CrossModal,27,0.5093673447932243,0.5018933702864756,0.32400977232586514,0.25272810739933627,0.05859441679170384
S3_M1+top3_M3,LR_concat,9,0.5094350661521583,0.5005602280588772,0.3261466929702146,0.25251580255375494,0.05914764331592489
S3_M1+top3_M3,LGBM_concat,9,0.5048619135574686,0.494528837275657,0.3412230496923488,0.2526224459912334,0.05902908045350891
S3_M1+top3_M3,Late_LR,9,0.5151507724663205,0.5035500979257754,0.32380083561074025,0.2524930083421715,0.05820672119679739
S3_M1+top3_M3,Late_LGBM,9,0.5061956316832326,0.49708735388867065,0.3239898047910974,0.2525374635346895,0.05820737840006226
S3_M1+top3_M3,CrossModal,9,0.5138612944015523,0.502284298553029,0.32378216468178356,0.2524980391198353,0.05840924823469393
S3_M1+top5_M3,LR_concat,11,0.509036068669534,0.500580374929728,0.32643271337097224,0.2525234553400038,0.05859995756870835
S3_M1+top5_M3,LGBM_concat,11,0.5092992732698554,0.4956204562627273,0.32875433024930834,0.25265254083898114,0.05873469263479722
S3_M1+top5_M3,Late_LR,11,0.511950152448837,0.5005914772069541,0.32398444585150044,0.25250935627327153,0.05802836929668429
S3_M1+top5_M3,Late_LGBM,11,0.5073377740751848,0.4984172370471118,0.3239898047910974,0.25252557993928737,0.05822613797823655
S3_M1+top5_M3,CrossModal,11,0.5107521006041003,0.49962833100638193,0.3239418618116231,0.252505135628171,0.058251784332193406
S3_M1+nonzero_M3,LR_concat,12,0.5082306185443215,0.4993476688078883,0.33272131419310624,0.2525041344113456,0.059659027095947594
S3_M1+nonzero_M3,LGBM_concat,12,0.5082385304819191,0.4970661531245434,0.3352089023997611,0.2526315269837368,0.05989188048166164
S3_M1+nonzero_M3,Late_LR,12,0.5142365264001094,0.5017436892861662,0.32399843657095584,0.2524697724457683,0.057925248336473105
S3_M1+nonzero_M3,Late_LGBM,12,0.5057909904288762,0.49714734176083214,0.3239898047910974,0.2525330843525879,0.0582744798395057
S3_M1+nonzero_M3,CrossModal,12,0.5144312028212508,0.5028233891537761,0.3239698298430404,0.25247020487661104,0.058239154328988595
S4_M1+top5M2+top3M3,LR_concat,14,0.5070870206235876,0.49822446004769205,0.34881952361440505,0.25237396529173484,0.05789411086096745
S4_M1+top5M2+top3M3,LGBM_concat,14,0.5070890092442407,0.49460328877228105,0.3371633691690027,0.25270976892820274,0.05901394919533311
S4_M1+top5M2+top3M3,Late_LR,14,0.5119565368981605,0.5004431315412916,0.3257535856903325,0.25275264211616805,0.05939182862172006
S4_M1+top5M2+top3M3,Late_LGBM,14,0.499214469573365,0.49044119689635574,0.3330626150907543,0.25266401715533016,0.05806999020049966
S4_M1+top5M2+top3M3,CrossModal,14,0.5125423777073539,0.5014139856621858,0.3351938382433084,0.2528233671167779,0.05930223438845077
S4_M1+top10M2+top5M3,LR_concat,21,0.5040896659515643,0.49662174075662646,0.3368061014054742,0.2523424387343127,0.056920420170026124
S4_M1+top10M2+top5M3,LGBM_concat,21,0.5039435692188263,0.49273853641648585,0.32905056596731563,0.25270233864049485,0.058316209431765034
S4_M1+top10M2+top5M3,Late_LR,21,0.5059275641960238,0.49544115614381756,0.32242953924771856,0.2527020422824653,0.05873908714211281
S4_M1+top10M2+top5M3,Late_LGBM,21,0.49817215707037643,0.4892572192071943,0.3239898047910974,0.2526219206664758,0.058285988356073584
S4_M1+top10M2+top5M3,CrossModal,21,0.5058532397256366,0.4947586825071589,0.3224242560969248,0.2527518985889997,0.05916584443069461
S4_M1+nzM2+nzM3,LR_concat,33,0.5001775907880766,0.4903709143480315,0.33312890990667915,0.252498822183881,0.05742872605408683
