roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept,n,fold,variant,subset
0.5008643151217359,0.4881031342105071,0.6571354302053548,0.2507355057632509,0.028722419625980655,2583,0.4893534779548645,,,2583,7,numeric_tokens,no_filing_days
0.5019429237558923,0.4500703641919526,0.6157903991559698,0.251780378544926,0.06942883712956538,3936,0.444867879152298,,,3936,0,ts_text_fusion,all_days
0.5200133449758637,0.4762475215167402,0.6307541625857003,0.25132851611169166,0.053638338384770834,699,0.46065807342529297,,,699,0,ts_text_fusion,filing_days
0.4979085643775894,0.4447754170690742,0.6125160737248179,0.25187795402865504,0.07283864618643554,3237,0.441458135843277,,,3237,0,ts_text_fusion,no_filing_days
0.5134512471655329,0.4692035282885402,0.0,0.24921361905180667,0.018829323444230914,3766,0.46468400955200195,-1.1570172613600413,0.9805456007369637,3766,1,ts_text_fusion,all_days
0.46563742380068907,0.41483885485309435,0.0,0.2479595604447689,0.004344148430489805,553,0.4430379867553711,-1.5854666547457308,1.141662031722076,553,1,ts_text_fusion,filing_days
0.5220002411944572,0.48249196801378486,0.0,0.24942945920421625,0.021657818295026277,3213,0.46840959787368774,,,3213,1,ts_text_fusion,no_filing_days
0.5021548136004215,0.4341383896193164,0.02062975027144408,0.24710625754735138,0.029058370857439623,4074,0.4374079406261444,-0.5819179369009622,0.6582378600323662,4074,2,ts_text_fusion,all_days
0.49472363930195257,0.4211722343541292,0.03007518796992481,0.24685275413633398,0.04101197112357337,582,0.42783504724502563,-0.9073220336584131,0.7732237055189406,582,2,ts_text_fusion,filing_days
0.5033246790783135,0.43712849903754847,0.01903553299492386,0.2471485081158543,0.027066111003853224,3492,0.43900343775749207,-0.4719158282558861,0.6221939320892849,3492,2,ts_text_fusion,no_filing_days
0.532982700915432,0.5965065287887918,0.0009573958831977022,0.26121985244403084,0.12742324294827395,3686,0.5661964416503906,2.1595292999233857,-0.38124850937688237,3686,3,ts_text_fusion,all_days
0.5594483721742166,0.6284823709507865,0.0,0.2631951993596865,0.155434421700477,486,0.5864197611808777,7.197772946903846,-2.565910856073324,486,3,ts_text_fusion,filing_days
0.5296267142373996,0.5927710866924074,0.0011086474501108647,0.26091984663121565,0.12422822048941334,3200,0.5631250143051147,1.6643249671040963,-0.167246901189136,3200,3,ts_text_fusion,no_filing_days
0.49473677574290365,0.5437720048910907,0.7004784688995215,0.24948070097845318,0.02379291918809558,4074,0.539027988910675,1.3205723282000021,-0.20421773287841405,4074,4,ts_text_fusion,all_days
0.5042659793463652,0.5380985826106328,0.6869133075648812,0.2514382373476215,0.041300580140972716,1189,0.5231286883354187,0.797960422977505,0.07273646847520576,1189,4,ts_text_fusion,filing_days
0.4916567079263819,0.5469367650906534,0.7059878896613591,0.24867393815594327,0.017256471095855274,2885,0.5455805659294128,1.7746225623403296,-0.45203779397456656,2885,4,ts_text_fusion,no_filing_days
0.5011776317373198,0.4457118873977358,0.6172006745362564,0.25571295893978946,0.09269415653982283,4100,0.44634145498275757,,,4100,5,ts_text_fusion,all_days
0.5000278889336711,0.44400712708541024,0.6162361623616236,0.25579174218908735,0.09370256580927006,1500,0.445333331823349,,,1500,5,ts_text_fusion,filing_days
0.5031284486246197,0.44733848051669267,0.6177565124933546,0.2556675070651945,0.09211236935262057,2600,0.44692307710647583,,,2600,5,ts_text_fusion,no_filing_days
0.5013357327664468,0.5162344996635958,0.010232558139534883,0.2549001601529683,0.07187193269149586,4116,0.5179786086082458,0.9813918036222797,0.1011293265358495,4116,6,ts_text_fusion,all_days
0.5051238852573174,0.5438680935419797,0.03021978021978022,0.25624833501678856,0.08577437387055134,1337,0.5310396552085876,1.235842407680908,-0.019238057310972945,1337,6,ts_text_fusion,filing_days
0.4982354349536238,0.5036737951494626,0.0,0.254251542019493,0.06518334405620822,2779,0.5116948485374451,0.22473973283099144,0.4113459972729423,2779,6,ts_text_fusion,no_filing_days
0.5141273972060545,0.513864917897215,0.6568088033012379,0.25032113323546773,0.02935002374892571,3920,0.4908163249492645,0.7719022314533991,0.11679417702628503,3920,7,ts_text_fusion,all_days
0.5271899198782508,0.527663911851175,0.6596279537456008,0.24982028568670225,0.026823953325967913,1337,0.4936424791812897,-0.13335210400739736,0.5629753720701199,1337,7,ts_text_fusion,filing_days
0.5075919976775656,0.5066270442570148,0.6553436111836948,0.2505803795276471,0.03077865109238634,2583,0.4893534779548645,-0.23276473309204598,0.6100639577919934,2583,7,ts_text_fusion,no_filing_days
