variant,n_text_feats,auc,brier
numeric_only,0,0.507527293047573,0.2518709267849855
numeric_tokens,0,0.5065403124712277,0.2517015003777628
fusion_T1_core_sentiment,3,0.5052014591975323,0.2517561234416572
fusion_T2_+memory,7,0.5082229610990348,0.25169338944921876
fusion_T3_+metadata,10,0.5082798825640065,0.2516654819497299
fusion_T4_+hi_categories,20,0.506442161050155,0.25168609118518515
fusion_T5_all_features,41,0.5070405441010778,0.2517066619705912
