r2,mae,rmse,spearman,spearman_p,auc_vol_high,fold,variant,n_test,fusion_weight_ts
0.09950627030540549,0.010112560992372656,0.01465145054644708,0.40217912346862156,5.21800684687222e-127,0.5272510360664074,0,numeric_only,3260,
0.024929391196158557,0.01232590861230639,0.021709923960634023,0.3828422361241113,6.548195332655265e-125,0.5382349506268558,1,numeric_only,3568,
0.13025485848499563,0.009230967323844444,0.013481270415890124,0.423364034397358,1.2995676587518846e-151,0.5580132546027471,2,numeric_only,3485,
0.14699572874956113,0.009560379860109781,0.014648333852627428,0.39474600959327555,4.0933246894498473e-125,0.5532512661269454,3,numeric_only,3344,
0.1529968210764222,0.009486925352801965,0.01328829630005484,0.41538695816244975,6.517265203856878e-150,0.5690502197112367,4,numeric_only,3593,
0.13885932769631537,0.009545247934710312,0.014360503236687597,0.42602368594279405,2.1118515901539327e-157,0.5879136912936006,5,numeric_only,3570,
0.13012738907045385,0.010100328113559846,0.015837095460095253,0.4058572763963444,6.603708003653867e-147,0.574501387154637,6,numeric_only,3704,
0.1350116071119437,0.009355463634977109,0.013882955705427294,0.41977008229842866,2.4549999482177297e-157,0.5965049637016966,7,numeric_only,3687,
0.1801581678421731,0.010440794402552545,0.015407538514415467,0.49020288239665133,5.569869149987004e-207,0.6355272542487876,8,numeric_only,3432,
0.17910380291599692,0.009427637755900335,0.01392150531753023,0.4410295073243846,3.596042210636633e-173,0.5823007642580227,9,numeric_only,3641,
0.17675372934340083,0.00974715726328034,0.014161718743178012,0.43887918825597333,9.307984684371612e-181,0.6012428089623904,10,numeric_only,3844,
0.1723316807190145,0.011115231626333252,0.016724573523113295,0.45635165383469684,2.6451355775087368e-194,0.6129556845939939,11,numeric_only,3789,
0.03963684419949687,0.01471615063007885,0.024207668028125854,0.4033846665031184,1.395491044625904e-141,0.5915877311682454,12,numeric_only,3616,
0.12312738624693198,0.010475762794163741,0.01479205397802696,0.37850440544106806,1.2407099393334791e-127,0.5562390405425593,13,numeric_only,3738,
0.14962459167112985,0.011223487961700333,0.01776043779821496,0.4295870218786769,1.5817041596025736e-167,0.6077420217123246,14,numeric_only,3733,
0.13993141727985048,0.009739422552729932,0.013572156809451497,0.47303193219504114,9.439497490701523e-198,0.5851822558536532,15,numeric_only,3556,
0.1599062298454812,0.01098957260026578,0.015717840133887113,0.46606448781562126,1.5543412911961892e-205,0.6063473078588661,16,numeric_only,3824,
0.12932436109290535,0.011099956596030308,0.01623599534270406,0.44263310143987195,4.5595917161153575e-179,0.6105312297734629,17,numeric_only,3736,
0.10956630421888425,0.01232708099822461,0.019987044903949026,0.4431558367965316,2.0568476446172834e-167,0.6164679542072432,18,numeric_only,3481,
0.17371186963672647,0.009670690538976123,0.013038356001355124,0.4898554821781371,1.4875025287439147e-238,0.611113225856606,19,numeric_only,3967,
0.20550764632140217,0.011048943244619483,0.015878458604854175,0.5023215416406196,1.708600366758406e-240,0.6549039193369808,20,numeric_only,3774,
-0.2224781802592244,0.03441053622035215,0.05537657197421231,0.4483725866550546,4.795733970220297e-168,0.6268894091302356,21,numeric_only,3404,
0.1291823514455308,0.0138880280946559,0.020292027981797054,0.47290999598243233,1.0390399854341578e-224,0.6612045985859276,22,numeric_only,4048,
0.1268910802198654,0.012032027294334072,0.017033476489677533,0.4065536747362123,5.749365397446025e-161,0.6109027650659996,23,numeric_only,4048,
0.005714752102878862,0.01208869005322168,0.016714291566407538,0.3976393623122781,1.4772966820380517e-146,0.5820564057358549,24,numeric_only,3864,
0.15070501771411082,0.013314505502216276,0.018390540169582074,0.47298780456253986,1.5498458762133831e-204,0.6391942526473531,25,numeric_only,3680,
0.13986659309359872,0.01275931877226095,0.01797288858052874,0.4029734225911539,9.420421086368716e-152,0.593834147708053,26,numeric_only,3888,
0.18816279167279726,0.011457881777699712,0.016195920459040704,0.43610326238456154,1.7276458834643385e-164,0.601273314053397,27,numeric_only,3544,
0.18509459313142707,0.01141617371378539,0.015926583002904296,0.5101706309554425,8.199755740219266e-267,0.6609660557428917,28,numeric_only,4042,
0.1526426673385376,0.010595732560299212,0.01398827799767563,0.43716920900661693,2.4369096434615675e-188,0.601892881879309,29,numeric_only,4042,
0.21796498963717315,0.011983960787839882,0.018216871963756712,0.4745181856920874,1.113519530774838e-215,0.6187540324504923,30,numeric_only,3854,
0.15952182661870884,0.010291595218768894,0.013807743645275577,0.44799902687278054,1.1835056835444393e-189,0.5897065034787439,31,numeric_only,3854,
0.1314529687681868,0.010914184519078428,0.015731628373777087,0.4078281950832554,2.1826819739915756e-154,0.588164407319337,32,numeric_only,3854,
0.1441937099248296,0.01066105020964046,0.014405465253322931,0.3471092033962948,2.7065936819917036e-104,0.5694518821041226,33,numeric_only,3666,
