roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept,n,fold,variant,subset
0.4857543094605921,0.4337738216640392,0.0,0.24820573698034407,0.03393376804085729,1440,0.4437499940395355,1.0,0.0,1440,0,lr_M1_numeric,all
0.4822919665994817,0.4459373791922482,0.0,0.2487043775325304,0.02097453577476016,555,0.4558558464050293,1.0,0.0,555,0,lr_M1_numeric,filing
0.48946597858930296,0.42961439759745196,0.0,0.2478930301933797,0.04206075228971762,885,0.4361581802368164,1.0,0.0,885,0,lr_M1_numeric,no_filing
0.5244432331260416,0.45691722404152235,0.041116005873715125,0.24822595977229073,0.039225859774386265,1440,0.4437499940395355,-5.671502201753615,3.182948602397712,1440,0,lr_M2_visual,all
0.5443289793995236,0.48571466937867624,0.058823529411764705,0.2483214463572188,0.02606613464634066,555,0.4558558464050293,-1.6236791139269422,1.2383425041163822,555,0,lr_M2_visual,filing
0.5135478210306623,0.4430411017602892,0.029339853300733496,0.24816607835462395,0.04747856154655385,885,0.4361581802368164,-9.709028076801918,5.13180103135354,885,0,lr_M2_visual,no_filing
0.48704768491654604,0.4409911501246482,0.0,0.24817849622433852,0.036604701107047,1440,0.4437499940395355,1.0,0.0,1440,0,lr_M3_text,all
0.49506583252624137,0.4579751164921912,0.0,0.24865025276847935,0.024539490941675568,555,0.4558558464050293,1.0,0.0,555,0,lr_M3_text,filing
0.47318471139169527,0.42409085432266913,0.0,0.2478826489000468,0.04417102742833334,885,0.4361581802368164,1.0,0.0,885,0,lr_M3_text,no_filing
0.5007531665230669,0.444002907214782,0.0,0.24817253171482953,0.03655883279896199,1440,0.4437499940395355,1.0,0.0,1440,0,gb_M1_numeric,all
0.5033505222102976,0.4636097890723376,0.0,0.24864919866648943,0.024448517286303262,555,0.4558558464050293,1.0,0.0,555,0,gb_M1_numeric,filing
0.4993094998286729,0.4333305243520176,0.0,0.24787360498243266,0.04415344552447953,885,0.4361581802368164,1.0,0.0,885,0,gb_M1_numeric,no_filing
0.47649749237553213,0.43047350419814334,0.19036144578313252,0.2487699950551528,0.03655124513884554,1440,0.4437499940395355,-1.1181656693945163,0.9808063617912158,1440,0,gb_M2_visual,all
0.47730544721618723,0.44462776354035444,0.2054380664652568,0.24920291330551805,0.02518455468186004,555,0.4558558464050293,-0.778941611174069,0.8305582371997943,555,0,gb_M2_visual,filing
0.4745683075996553,0.42120308356089564,0.18036072144288579,0.2484985039489916,0.04367950628852275,885,0.4361581802368164,-1.3631445707315972,1.0902463600508097,885,0,gb_M2_visual,no_filing
0.4994011788863295,0.44405242706303877,0.044444444444444446,0.2483621167578927,0.03683583521396833,1440,0.4437499940395355,-0.8853724949367725,0.8692474855735117,1440,0,gb_M3_text,all
