variant,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,spearman_mean,spearman_std,auc_vol_high_mean,auc_vol_high_std
numeric_only,0.12492308728847624,0.08416486527717924,0.010715872076545684,0.0035767431585223084,0.015969306855366606,0.0061995812152549935,0.41060292029921136,0.0550019289110601,0.5956459829224637,0.0315356248499018
numeric_tokens,0.1206225746694503,0.08666305773695972,0.010719595080144712,0.0035329746058875996,0.01599526978075594,0.006145893504265649,0.4105535222552973,0.055321119837441576,0.5953713055211006,0.03344800697249766
ts_text_fusion,0.11899776044519654,0.08552734251488159,0.01071532563908547,0.003532169948072618,0.016017183498390056,0.0061694265464397255,0.4114265258725617,0.05528884511405737,0.595299236272841,0.03344446525191827
