fold,variant,split,roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept
23,numeric_only,test,0.5024940562461657,0.48521722422830565,0.6506024096385542,0.25038607993812567,0.02655617455211945,3864,0.4821428656578064,,
24,numeric_only,test,0.48566911685223224,0.5458086088256169,0.15724815724815724,0.25285626605297284,0.07356395251191299,3772,0.5540826916694641,-0.32462362340701545,0.7100704356857136
25,numeric_only,test,0.4944692057912042,0.5306632607215334,0.6956521739130435,0.24931924465541747,0.02073855102160438,3870,0.5333333611488342,,
26,numeric_only,test,0.5159959530261969,0.5099291238921911,0.6534875046624394,0.2519028296713507,0.04410250092650251,3720,0.4959677457809448,-1.4537176730455732,1.308850172800167
27,numeric_only,test,0.49583130681489207,0.5432394880784298,0.30442477876106194,0.25077871442617977,0.046880517195674,3730,0.5415549874305725,1.4092898875934439,-0.16694999510797703
28,numeric_only,test,0.5048863434952144,0.46489841427001655,0.631918505942275,0.2545661272605837,0.07488400020902367,4042,0.46313706040382385,0.1046006069901947,0.40751290284513464
29,numeric_only,test,0.5227153897262673,0.5567996831642432,0.031876138433515486,0.25422845274158523,0.0777060470042812,3948,0.5405268669128418,0.4498774474153098,0.3323141965299703
30,numeric_only,test,0.5072439529964415,0.4987638985658513,0.6607301869991096,0.2521809985547497,0.047172947926473974,3760,0.4933510720729828,,
31,numeric_only,test,0.5072072058833254,0.5202577332985516,0.05906783571758191,0.25011676643327213,0.01611211783412278,4042,0.509401261806488,2.9602836141006263,-0.9508745806073327
32,numeric_only,test,0.49620378901924134,0.5342516305071998,0.5964163822525598,0.2506746850930982,0.02047417833987207,3854,0.5313959717750549,-0.4901159329373542,0.8263990094126065
33,numeric_only,test,0.5001699658430435,0.4475806411292669,0.6092102829665249,0.2548752453832701,0.09335742590936913,3760,0.4380319118499756,,
34,numeric_only,test,0.4792681894331495,0.5428410087424066,0.007950530035335688,0.26165261232774406,0.1175388533842566,4077,0.552121639251709,0.6503673479101807,0.32335132787154447
35,numeric_only,test,0.4983365797389478,0.4902983869687485,0.6599002236366764,0.2535059856604957,0.05969390598822433,3895,0.49242618680000305,,
36,numeric_only,test,0.5045355277943023,0.5302403707777508,0.0,0.25045586819331545,0.03388802943461855,3895,0.5263158082962036,,
37,numeric_only,test,0.4748367277316739,0.45980812469980964,0.6392405063291139,0.2522836156647417,0.056545688412898754,4085,0.4697674512863159,,
38,numeric_only,test,0.5476641882289194,0.5129528269596967,0.05010893246187364,0.24867541708598434,0.0078058131210443854,3705,0.47827261686325073,6.003865438180294,-2.346346766458985
39,numeric_only,test,0.49446043297245124,0.5697838807835826,0.07485281749369217,0.25382651732632405,0.09523768519309017,3895,0.5727856159210205,1.2150041880657807,-0.007437127213179795
40,numeric_only,test,0.4963530759162304,0.5190307662982669,0.685337726523888,0.25219545063889226,0.0514722573905243,3990,0.5213032364845276,,
41,numeric_only,test,0.5155474838562368,0.5130733943698638,0.6670081967213115,0.2503541297918309,0.020919704119555408,3904,0.5007684230804443,,
42,numeric_only,test,0.5015131210666486,0.5523463351029066,0.7109873915179302,0.24992417773674522,0.05083480782641214,3936,0.5515751838684082,,
43,numeric_only,test,0.509756357300272,0.5547340327797693,0.7061143984220908,0.24786559140074124,0.00473711257596332,3936,0.5457317233085632,,
44,numeric_only,test,0.4995804643834158,0.5273746693360651,0.6913666550157288,0.24950208703538537,0.017416649717605814,3744,0.5283119678497314,,
45,numeric_only,test,0.5083830215824207,0.5480205055087074,0.6903137789904502,0.24926597225953492,0.0012398832488488276,3840,0.5270833373069763,,
