fold,variant,split,roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept
0,numeric_only,val,0.536774628879892,0.5991883469948249,0.684931506849315,0.2450715614118783,0.01570485854759702,205,0.5560975670814514,0.4667932556864124,0.29240499346569515
0,numeric_only,test,0.4905354792995243,0.5477821492306552,0.6933333333333334,0.25006708019414176,0.04178147225921246,200,0.5550000071525574,-1.6423577867520582,1.444129105711019
1,numeric_only,val,0.5682200715337682,0.5468328005074562,0.6118721461187214,0.24769912523307486,0.023534340921811503,195,0.49743589758872986,1.5710791392881178,-0.2840803294404399
1,numeric_only,test,0.5391656662665066,0.5457713653841323,0.5308056872037915,0.2487387664644236,0.04053035282663844,200,0.5099999904632568,0.29824561647338194,0.3640388994203353
2,numeric_only,val,0.5037959307622228,0.5662311875118655,0.7138263665594855,0.2467783392164942,6.639448234768697e-05,200,0.5550000071525574,1.0,0.0
2,numeric_only,test,0.559379334257975,0.535043109120737,0.6477987421383647,0.25444784970333634,0.07735727900891509,215,0.4790697693824768,1.0,0.0
3,numeric_only,val,0.512454981992797,0.5355513186028193,0.6618705035971223,0.2497978805842717,0.018808462884654136,200,0.5099999904632568,6.280713752831128,-2.693371031644557
3,numeric_only,test,0.4547022512708787,0.46727451017013527,0.6293706293706294,0.25109350879465664,0.024986617487958006,210,0.48571428656578064,1.6017609827693142,-0.3323064815361447
4,numeric_only,val,0.5271757975034674,0.49653921254810446,0.1746031746031746,0.2491785603908579,0.006932258959070408,215,0.4790697693824768,-0.025842293559667273,0.4914479580167563
4,numeric_only,test,0.43581725673097305,0.4451978013764254,0.13333333333333333,0.2511254861669261,0.022076491912897934,195,0.4564102590084076,-0.6138874383657129,0.7501472586570626
5,numeric_only,val,0.5219226579520698,0.4926165752325353,0.33548387096774196,0.24946274942695665,0.009177956687428337,210,0.48571428656578064,0.21106365737856056,0.38320785789226297
5,numeric_only,test,0.5647030420086915,0.6631257337879617,0.38095238095238093,0.2510274046231036,0.10163172014549487,185,0.5891891717910767,7.3830058541213885,-3.0104502934481583
6,numeric_only,val,0.5611087555649777,0.4948594223591632,0.24347826086956523,0.24525739374429728,0.03182710250127269,195,0.4564102590084076,1.2609596830379382,-0.15740856602239273
6,numeric_only,test,0.44315832988838366,0.5501443785976863,0.327683615819209,0.27696077031215194,0.18329292308446482,200,0.5899999737739563,-0.7252270292101957,0.9178157660701651
7,numeric_only,val,0.542189763399324,0.6597820783108053,0.7414965986394558,0.24153672248077637,0.062148323714548724,185,0.5891891717910767,4.856664051288253,-2.2724746894336834
7,numeric_only,test,0.5218595041322314,0.5287622477505213,0.6666666666666666,0.25926790701618996,0.09718539672052401,220,0.5,0.0,0.5
8,numeric_only,val,0.5272323274080198,0.6464020648705653,0.7421383647798742,0.24123359926623814,0.012467825159984042,200,0.5899999737739563,0.41918989363605574,0.3426688248447308
8,numeric_only,test,0.5342698639942733,0.43580454356475173,0.5808580858085809,0.26704784304954116,0.16134597796084665,215,0.40930232405662537,0.46963618988119665,0.14130523429299585
9,numeric_only,val,0.5248347107438016,0.5210230834280488,0.5158371040723982,0.2493971323325774,0.0072318784552647675,220,0.5,0.6534596826988126,0.17324883535029345
9,numeric_only,test,0.5368747718145309,0.41391483045263067,0.504950495049505,0.2488908411597135,0.11206837861165524,215,0.38604649901390076,2.260797157776908,-0.7400902250355843
