variant,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std,reliability_slope_mean,reliability_slope_std,reliability_intercept_mean,reliability_intercept_std
numeric_only,0.5048247851996825,0.009399354907770002,0.496054313219031,0.04606570815993096,0.32917519199334533,0.3328940780445627,0.2525872911072863,0.005133143225781204,0.05962028353013378,0.03910784150686686,1.3052638336502234,1.435591039629632,-0.12291478202448833,0.701092251220247
numeric_tokens,0.5067506533301803,0.014277861917670602,0.4959404437945507,0.05515121065915171,0.32747021414272726,0.34326110472761096,0.25247669366555553,0.004559233430873179,0.057985527189930906,0.03876531399889138,0.15777185289804338,1.9697047291059875,0.3945055445777654,0.8710271783906343
ts_text_fusion,0.5077386528612504,0.012121849690500312,0.4961877650922798,0.05643627310312091,0.3277622562733953,0.3429512279311331,0.2524668826118492,0.004572982237993199,0.057806100818481226,0.03911325046794433,0.5824100774896772,1.2335760565589675,0.2118734536793613,0.5169773538671525
