roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept,fold,variant,subset,n
0.4700869011748591,0.44999206897479915,0.0,0.24982062688151863,0.02674913267491741,3259,0.4700828492641449,,,0,gb_M1_numeric,all_days,3259
0.45996561004784686,0.4285616957783003,0.0,0.24969004700544506,0.04736949077401448,465,0.449462354183197,,,0,gb_M1_numeric,filing_days,465
0.536951519485487,0.5010554103455107,0.49004387445156933,0.24904344215379853,0.030078410327658345,3259,0.4700828492641449,0.7956815013107692,0.07148570325597098,0,lr_M1_numeric,all_days,3259
0.5434173145933014,0.47550978846314196,0.5081585081585082,0.2494536637705737,0.05340606719643466,465,0.449462354183197,0.5099742354391071,0.1907145364119297,0,lr_M1_numeric,filing_days,465
0.5288230545127985,0.5014609153254047,0.5199516324062878,0.24935657439151257,0.029694020813504866,3259,0.4700828492641449,1.1465397696610522,-0.10282363404357697,0,gb_M2_num_tok,all_days,3259
0.49884120813397126,0.45474268962379694,0.48484848484848486,0.24997845995854942,0.05007333411039022,465,0.449462354183197,-0.510918160155382,0.7046842204047901,0,gb_M2_num_tok,filing_days,465
0.5580346546403988,0.5200718811702595,0.5405570860116314,0.24831070492104182,0.033375832430806295,3259,0.4700828492641449,2.2770166938049616,-0.6760724227326664,0,lr_M2_num_tok,all_days,3259
0.5395858253588517,0.4950843936454196,0.5130434782608696,0.2486224359038841,0.05309929361954899,465,0.449462354183197,1.1644766686096346,-0.13575896139265742,0,lr_M2_num_tok,filing_days,465
0.47805964553149866,0.45859471215795106,0.0,0.2498207739109128,0.026751141300927928,3259,0.4700828492641449,,,0,gb_M3_text_only,all_days,3259
0.46043286483253587,0.4358838916638095,0.0,0.24969067825383545,0.0473737466932298,465,0.449462354183197,,,0,gb_M3_text_only,filing_days,465
0.48175933303197105,0.4556927551104984,0.0,0.24982103995334737,0.026751315767373773,3259,0.4700828492641449,,,0,lr_M3_text_only,all_days,3259
0.4952340011961722,0.4538745564004916,0.0,0.24969134603441995,0.047381749678498286,465,0.449462354183197,,,0,lr_M3_text_only,filing_days,465
0.5363346844238565,0.5012561976218903,0.5502490477585702,0.24926061488495074,0.03279539405070554,3259,0.4700828492641449,-0.026881350788041956,0.48270779937812636,0,gb_M4a_cat_early,all_days,3259
0.5213815789473684,0.46176723184136503,0.49777777777777776,0.24978226273018775,0.05842539214556945,465,0.449462354183197,-0.6810394092909821,0.7879842088166669,0,gb_M4a_cat_early,filing_days,465
0.5591371717205313,0.5205096207892087,0.49664879356568364,0.2491159232271716,0.03267384238302206,3259,0.4700828492641449,1.6520306352775715,-0.35012312910551724,0,lr_M4a_cat_early,all_days,3259
0.5405390251196173,0.49242486688101833,0.4393939393939394,0.24844679988758497,0.04369998793971507,465,0.449462354183197,1.5491505077432595,-0.31380570729963914,0,lr_M4a_cat_early,filing_days,465
0.5018595762887392,0.4719220824222448,0.007751937984496124,0.24983638019510615,0.027433654985593667,3259,0.4700828492641449,-0.3231952693677358,0.5853604644518395,0,gb_M4_cat_text_only,all_days,3259
0.5083451704545454,0.4605099075985023,0.05333333333333334,0.24957717291389472,0.04744167294953563,465,0.449462354183197,-0.3631310311981344,0.5974221842787761,0,gb_M4_cat_text_only,filing_days,465
0.5004335231713789,0.47071452320167095,0.0013003901170351106,0.2497494479710754,0.026776048969643675,3259,0.4700828492641449,-30.077725303595063,15.417855112229864,0,lr_M4_cat_text_only,all_days,3259
0.5011120663875599,0.4517303221262392,0.009302325581395349,0.24907016660120282,0.04496992903255634,465,0.449462354183197,-23.2861065109642,11.981628811860002,0,lr_M4_cat_text_only,filing_days,465
